Age,Gender,What's the first thing you do when you receive your paycheck?,Do you track your spending on a regular basis?,How often do you make impulse purchases (buying things not planned)?,"If you received an unexpected bonus of 20,000? what would you do with it?  ",Do you have a budget that you follow each month?  , What motivates you the most to save money?  ,"How comfortable are you with using financial products (e.g., credit cards, loans, investments)?  ",Have you set specific financial goals for the next 5 years?  ,How confident are you in making investment decisions?  ,Which financial habit are you most proud of adopting in the past year?  
58,Female,Save,"Yes, daily",Never,Pay off debt,"No, i don't have a budget",Future security,Somewhat comfortable,"Yes, I have a detailed plan",Very confident,Other
47,Female,Other,Sometimes,Rarely,Save it,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"Yes, but it's vague",Very confident,Creating and sticking to a budget
39,Male,Save,"Yes, monthly",Rarely,Spend it,"Yes, but I don't always stick to it",Travel,Not comfortable,"No, I haven't thought that far ahead",Somewhat confident,Paying off debt
18,Female,Save,"Yes, monthly",Never,Save it,"Yes, I follow it strictly",Buying a home,Very comfortable,"Yes, I have a detailed plan",Not confident at all,Investing regularly
18,Male,Spend,"Yes, monthly",Frequently,Pay off debt,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"Yes, I have a detailed plan",Not confident at all,Other
37,Male,Save,Sometimes,Frequently,Pay off debt,"Yes, but I don't always stick to it",Other,Somewhat comfortable,"No, I haven't thought that far ahead",Somewhat confident,Other
49,Male,Save,"Yes, daily",Rarely,Pay off debt,"No, i don't have a budget",Future security,Very comfortable,"No, I haven't thought that far ahead",Somewhat confident,Creating and sticking to a budget
19,Male,Save,Sometimes,Frequently,Spend it,"No, i don't have a budget",Travel,Not comfortable,"Yes, but it's vague",Not confident at all,Investing regularly
50,Male,Spend,"Yes, monthly",Frequently,Spend it,"No, i don't have a budget",Travel,Not comfortable,"Yes, but it's vague",Somewhat confident,Investing regularly
26,Female,Pay bills,"Yes, daily",Frequently,Save it,"Yes, I follow it strictly",Future security,Very comfortable,"Yes, I have a detailed plan",Not confident at all,Spending less
32,Female,Other,Sometimes,Never,Save it,"No, i don't have a budget",Travel,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Saving more
42,Female,Spend,"No, I don't track it",Frequently,Pay off debt,"Yes, but I don't always stick to it",Future security,Very comfortable,"Yes, but it's vague",Somewhat confident,Creating and sticking to a budget
41,Male,Other,"Yes, daily",Always,Save it,"Yes, I follow it strictly",Buying a home,Very comfortable,"Yes, but it's vague",Somewhat confident,Investing regularly
24,Female,Save,Sometimes,Rarely,Pay off debt,"Yes, I follow it strictly",Future security,Somewhat comfortable,"No, I haven't thought that far ahead",Somewhat confident,Investing regularly
33,Female,Pay bills,"Yes, monthly",Rarely,Invest it,"Yes, but I don't always stick to it",Buying a home,Not comfortable,"No, I haven't thought that far ahead",Somewhat confident,Paying off debt
62,Other,Pay bills,"Yes, daily",Frequently,Save it,"Yes, but I don't always stick to it",Other,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Paying off debt
61,Male,Save,"Yes, monthly",Frequently,Spend it,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"Yes, I have a detailed plan",Somewhat confident,Saving more
26,Female,Pay bills,Sometimes,Never,Pay off debt,"Yes, but I don't always stick to it",Future security,Very comfortable,"No, I haven't thought that far ahead",Somewhat confident,Saving more
35,Female,Pay bills,Sometimes,Frequently,Pay off debt,"No, i don't have a budget",Retiring early,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Paying off debt
47,Male,Save,"Yes, daily",Never,Save it,"No, i don't have a budget",Buying a home,Very comfortable,"Yes, but it's vague",Somewhat confident,Investing regularly
35,Female,Other,"Yes, monthly",Rarely,Save it,"No, i don't have a budget",Retiring early,Very comfortable,"Yes, but it's vague",Not confident at all,Creating and sticking to a budget
52,Male,Save,"Yes, monthly",Never,Save it,"No, i don't have a budget",Buying a home,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Paying off debt
52,Female,Save,"Yes, monthly",Rarely,Invest it,"Yes, I follow it strictly",Buying a home,Somewhat comfortable,"No, I haven't thought that far ahead",Not confident at all,Creating and sticking to a budget
42,Male,Save,"Yes, monthly",Rarely,Invest it,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"Yes, I have a detailed plan",Not confident at all,Investing regularly
39,Male,Save,"No, I don't track it",Frequently,Invest it,"Yes, but I don't always stick to it",Buying a home,Somewhat comfortable,"Yes, I have a detailed plan",Somewhat confident,Spending less
36,Male,Save,Sometimes,Frequently,Invest it,"Yes, but I don't always stick to it",Other,Somewhat comfortable,"Yes, I have a detailed plan",Somewhat confident,Spending less
21,Male,Spend,"No, I don't track it",Never,Pay off debt,"No, i don't have a budget",Retiring early,Not comfortable,"No, I haven't thought that far ahead",Somewhat confident,Paying off debt
36,Male,Save,Sometimes,Frequently,Save it,"Yes, I follow it strictly",Retiring early,Very comfortable,"No, I haven't thought that far ahead",Somewhat confident,Investing regularly
27,Male,Save,"Yes, daily",Never,Save it,"Yes, I follow it strictly",Travel,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Saving more
21,Male,Save,"Yes, monthly",Frequently,Spend it,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"Yes, I have a detailed plan",Somewhat confident,Other
54,Male,Spend,Sometimes,Rarely,Spend it,"Yes, I follow it strictly",Future security,Somewhat comfortable,"Yes, I have a detailed plan",Not confident at all,Investing regularly
21,Female,Pay bills,Sometimes,Rarely,Invest it,"No, i don't have a budget",Future security,Very comfortable,"Yes, I have a detailed plan",Not confident at all,Saving more
24,Male,Save,"Yes, monthly",Never,Spend it,"No, i don't have a budget",Retiring early,Somewhat comfortable,"Yes, but it's vague",Very confident,Investing regularly
27,Female,Pay bills,"Yes, monthly",Frequently,Invest it,"Yes, but I don't always stick to it",Retiring early,Not comfortable,"Yes, but it's vague",Not confident at all,Paying off debt
61,Female,Spend,"Yes, daily",Never,Spend it,"Yes, but I don't always stick to it",Travel,Very comfortable,"Yes, I have a detailed plan",Somewhat confident,Paying off debt
48,Female,Spend,"No, I don't track it",Frequently,Pay off debt,"No, i don't have a budget",Travel,Somewhat comfortable,"Yes, but it's vague",Not confident at all,Saving more
50,Female,Save,"No, I don't track it",Never,Pay off debt,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"Yes, but it's vague",Not confident at all,Creating and sticking to a budget
57,Female,Spend,Sometimes,Rarely,Invest it,"Yes, I follow it strictly",Other,Somewhat comfortable,"No, I haven't thought that far ahead",Not confident at all,Spending less
46,Male,Spend,Sometimes,Rarely,Pay off debt,"Yes, but I don't always stick to it",Travel,Not comfortable,"No, I haven't thought that far ahead",Not confident at all,Creating and sticking to a budget
45,Male,Pay bills,"Yes, monthly",Rarely,Pay off debt,"Yes, I follow it strictly",Buying a home,Somewhat comfortable,"Yes, I have a detailed plan",Somewhat confident,Saving more
38,Female,Pay bills,"No, I don't track it",Rarely,Save it,"No, i don't have a budget",Future security,Very comfortable,"No, I haven't thought that far ahead",Not confident at all,Paying off debt
45,Female,Pay bills,"Yes, daily",Rarely,Save it,"Yes, I follow it strictly",Future security,Very comfortable,"Yes, but it's vague",Somewhat confident,Saving more
44,Female,Pay bills,"Yes, monthly",Rarely,Pay off debt,"Yes, I follow it strictly",Future security,Very comfortable,"No, I haven't thought that far ahead",Somewhat confident,Spending less
23,Male,Pay bills,"No, I don't track it",Frequently,Save it,"Yes, but I don't always stick to it",Retiring early,Very comfortable,"Yes, but it's vague",Very confident,Saving more
30,Female,Pay bills,"No, I don't track it",Frequently,Pay off debt,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"No, I haven't thought that far ahead",Somewhat confident,Spending less
38,Male,Save,"Yes, daily",Frequently,Save it,"Yes, but I don't always stick to it",Retiring early,Somewhat comfortable,"Yes, I have a detailed plan",Somewhat confident,Paying off debt
34,Female,Save,"Yes, monthly",Frequently,Donate it,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Creating and sticking to a budget
48,Male,Save,"Yes, monthly",Frequently,Invest it,"No, i don't have a budget",Travel,Very comfortable,"No, I haven't thought that far ahead",Somewhat confident,Investing regularly
25,Male,Pay bills,Sometimes,Frequently,Spend it,"Yes, I follow it strictly",Future security,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Creating and sticking to a budget
25,Male,Save,"Yes, daily",Frequently,Invest it,"Yes, but I don't always stick to it",Future security,Very comfortable,"Yes, but it's vague",Somewhat confident,Creating and sticking to a budget
62,Male,Spend,"Yes, daily",Frequently,Invest it,"No, i don't have a budget",Retiring early,Not comfortable,"No, I haven't thought that far ahead",Somewhat confident,Creating and sticking to a budget
55,Male,Save,Sometimes,Frequently,Spend it,"Yes, but I don't always stick to it",Buying a home,Somewhat comfortable,"Yes, I have a detailed plan",Somewhat confident,Paying off debt
51,Male,Spend,"Yes, monthly",Rarely,Invest it,"Yes, but I don't always stick to it",Travel,Very comfortable,"No, I haven't thought that far ahead",Not confident at all,Paying off debt
50,Other,Other,"No, I don't track it",Rarely,Save it,"No, i don't have a budget",Travel,Somewhat comfortable,"Yes, I have a detailed plan",Very confident,Spending less
43,Male,Other,"Yes, daily",Frequently,Pay off debt,"No, i don't have a budget",Buying a home,Not comfortable,"Yes, but it's vague",Very confident,Paying off debt
21,Female,Pay bills,"No, I don't track it",Frequently,Pay off debt,"Yes, I follow it strictly",Travel,Not comfortable,"No, I haven't thought that far ahead",Somewhat confident,Spending less
38,Female,Pay bills,"No, I don't track it",Never,Pay off debt,"Yes, but I don't always stick to it",Travel,Very comfortable,"Yes, but it's vague",Somewhat confident,Saving more
23,Male,Save,Sometimes,Rarely,Invest it,"Yes, but I don't always stick to it",Future security,Very comfortable,"No, I haven't thought that far ahead",Very confident,Creating and sticking to a budget
32,Female,Spend,"Yes, daily",Never,Save it,"Yes, I follow it strictly",Travel,Not comfortable,"No, I haven't thought that far ahead",Not confident at all,Paying off debt
34,Male,Save,"Yes, monthly",Always,Spend it,"Yes, I follow it strictly",Future security,Very comfortable,"Yes, but it's vague",Somewhat confident,Other
50,Female,Save,"Yes, daily",Frequently,Pay off debt,"Yes, I follow it strictly",Retiring early,Very comfortable,"No, I haven't thought that far ahead",Not confident at all,Saving more
45,Male,Save,"Yes, monthly",Frequently,Spend it,"Yes, but I don't always stick to it",Travel,Not comfortable,"Yes, I have a detailed plan",Very confident,Other
58,Other,Other,"Yes, daily",Frequently,Invest it,"Yes, I follow it strictly",Future security,Very comfortable,"No, I haven't thought that far ahead",Somewhat confident,Creating and sticking to a budget
21,Male,Spend,"No, I don't track it",Frequently,Pay off debt,"No, i don't have a budget",Buying a home,Somewhat comfortable,"No, I haven't thought that far ahead",Not confident at all,Investing regularly
53,Male,Save,"Yes, daily",Frequently,Invest it,"Yes, but I don't always stick to it",Travel,Somewhat comfortable,"Yes, but it's vague",Very confident,Paying off debt
55,Female,Save,Sometimes,Never,Save it,"No, i don't have a budget",Buying a home,Somewhat comfortable,"Yes, but it's vague",Not confident at all,Spending less
47,Male,Spend,"Yes, daily",Frequently,Spend it,"No, i don't have a budget",Buying a home,Very comfortable,"Yes, but it's vague",Not confident at all,Saving more
64,Female,Save,"No, I don't track it",Frequently,Save it,"Yes, I follow it strictly",Future security,Very comfortable,"Yes, but it's vague",Very confident,Spending less
38,Female,Spend,"Yes, monthly",Rarely,Save it,"No, i don't have a budget",Buying a home,Very comfortable,"No, I haven't thought that far ahead",Somewhat confident,Saving more
21,Female,Spend,Sometimes,Frequently,Pay off debt,"Yes, I follow it strictly",Retiring early,Somewhat comfortable,"No, I haven't thought that far ahead",Somewhat confident,Creating and sticking to a budget
53,Female,Save,Sometimes,Frequently,Spend it,"Yes, I follow it strictly",Future security,Somewhat comfortable,"Yes, but it's vague",Very confident,Saving more
35,Male,Spend,Sometimes,Always,Pay off debt,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"No, I haven't thought that far ahead",Somewhat confident,Saving more
40,Female,Save,"Yes, monthly",Frequently,Invest it,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"Yes, I have a detailed plan",Somewhat confident,Creating and sticking to a budget
48,Female,Save,"No, I don't track it",Frequently,Save it,"No, i don't have a budget",Future security,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Investing regularly
23,Male,Pay bills,"Yes, daily",Never,Spend it,"Yes, but I don't always stick to it",Retiring early,Somewhat comfortable,"No, I haven't thought that far ahead",Very confident,Creating and sticking to a budget
41,Male,Spend,"Yes, daily",Frequently,Spend it,"No, i don't have a budget",Future security,Somewhat comfortable,"Yes, I have a detailed plan",Somewhat confident,Investing regularly
36,Male,Pay bills,Sometimes,Frequently,Save it,"No, i don't have a budget",Buying a home,Somewhat comfortable,"Yes, I have a detailed plan",Not confident at all,Paying off debt
24,Male,Pay bills,"Yes, monthly",Rarely,Spend it,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"Yes, I have a detailed plan",Somewhat confident,Investing regularly
45,Male,Save,"Yes, daily",Frequently,Invest it,"Yes, I follow it strictly",Future security,Not comfortable,"Yes, but it's vague",Somewhat confident,Paying off debt
20,Female,Spend,"Yes, daily",Rarely,Save it,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"No, I haven't thought that far ahead",Very confident,Other
27,Female,Spend,"No, I don't track it",Rarely,Spend it,"Yes, but I don't always stick to it",Retiring early,Very comfortable,"Yes, but it's vague",Not confident at all,Investing regularly
48,Male,Save,Sometimes,Rarely,Spend it,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"No, I haven't thought that far ahead",Somewhat confident,Spending less
32,Male,Spend,"Yes, monthly",Rarely,Spend it,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"No, I haven't thought that far ahead",Somewhat confident,Paying off debt
23,Male,Save,Sometimes,Rarely,Invest it,"No, i don't have a budget",Future security,Somewhat comfortable,"Yes, but it's vague",Not confident at all,Investing regularly
53,Male,Pay bills,"Yes, daily",Frequently,Spend it,"Yes, but I don't always stick to it",Retiring early,Not comfortable,"No, I haven't thought that far ahead",Not confident at all,Creating and sticking to a budget
57,Female,Save,"Yes, monthly",Rarely,Pay off debt,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"Yes, I have a detailed plan",Not confident at all,Paying off debt
44,Female,Save,Sometimes,Rarely,Save it,"Yes, I follow it strictly",Travel,Very comfortable,"Yes, but it's vague",Somewhat confident,Creating and sticking to a budget
20,Male,Save,"Yes, daily",Frequently,Pay off debt,"No, i don't have a budget",Buying a home,Not comfortable,"No, I haven't thought that far ahead",Somewhat confident,Paying off debt
62,Female,Pay bills,Sometimes,Rarely,Pay off debt,"Yes, I follow it strictly",Buying a home,Not comfortable,"Yes, I have a detailed plan",Somewhat confident,Investing regularly
26,Male,Save,"Yes, monthly",Rarely,Save it,"No, i don't have a budget",Travel,Very comfortable,"No, I haven't thought that far ahead",Somewhat confident,Saving more
27,Male,Save,"Yes, daily",Frequently,Save it,"Yes, but I don't always stick to it",Other,Somewhat comfortable,"Yes, I have a detailed plan",Very confident,Paying off debt
43,Male,Other,"No, I don't track it",Frequently,Save it,"Yes, I follow it strictly",Retiring early,Very comfortable,"Yes, but it's vague",Not confident at all,Creating and sticking to a budget
54,Other,Spend,"Yes, monthly",Rarely,Spend it,"Yes, but I don't always stick to it",Retiring early,Not comfortable,"Yes, I have a detailed plan",Not confident at all,Investing regularly
54,Other,Save,"No, I don't track it",Rarely,Pay off debt,"No, i don't have a budget",Retiring early,Not comfortable,"Yes, but it's vague",Not confident at all,Investing regularly
62,Female,Spend,Sometimes,Frequently,Spend it,"No, i don't have a budget",Future security,Very comfortable,"Yes, but it's vague",Not confident at all,Spending less
37,Female,Save,Sometimes,Rarely,Spend it,"No, i don't have a budget",Future security,Somewhat comfortable,"Yes, I have a detailed plan",Somewhat confident,Creating and sticking to a budget
44,Female,Pay bills,"Yes, daily",Never,Invest it,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Paying off debt
56,Male,Pay bills,Sometimes,Never,Save it,"Yes, but I don't always stick to it",Future security,Not comfortable,"Yes, but it's vague",Not confident at all,Paying off debt
29,Female,Save,"Yes, daily",Rarely,Invest it,"No, i don't have a budget",Retiring early,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Paying off debt
52,Male,Spend,Sometimes,Never,Invest it,"No, i don't have a budget",Buying a home,Somewhat comfortable,"Yes, but it's vague",Not confident at all,Investing regularly
47,Female,Pay bills,Sometimes,Always,Spend it,"No, i don't have a budget",Travel,Very comfortable,"Yes, I have a detailed plan",Somewhat confident,Paying off debt
20,Other,Pay bills,"Yes, daily",Always,Donate it,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"Yes, I have a detailed plan",Somewhat confident,Saving more
63,Female,Save,"No, I don't track it",Always,Pay off debt,"Yes, but I don't always stick to it",Future security,Not comfortable,"Yes, but it's vague",Very confident,Spending less
40,Female,Other,"Yes, monthly",Frequently,Donate it,"Yes, but I don't always stick to it",Buying a home,Not comfortable,"Yes, I have a detailed plan",Somewhat confident,Paying off debt
60,Male,Other,Sometimes,Rarely,Invest it,"Yes, but I don't always stick to it",Travel,Very comfortable,"No, I haven't thought that far ahead",Somewhat confident,Spending less
42,Female,Pay bills,"Yes, daily",Frequently,Pay off debt,"No, i don't have a budget",Future security,Somewhat comfortable,"No, I haven't thought that far ahead",Very confident,Saving more
29,Female,Save,"Yes, monthly",Rarely,Save it,"Yes, but I don't always stick to it",Travel,Very comfortable,"Yes, but it's vague",Not confident at all,Saving more
51,Male,Save,Sometimes,Never,Spend it,"No, i don't have a budget",Travel,Not comfortable,"Yes, but it's vague",Somewhat confident,Paying off debt
57,Female,Pay bills,Sometimes,Never,Donate it,"Yes, but I don't always stick to it",Future security,Not comfortable,"Yes, but it's vague",Somewhat confident,Paying off debt
35,Male,Save,"No, I don't track it",Frequently,Donate it,"Yes, but I don't always stick to it",Buying a home,Not comfortable,"No, I haven't thought that far ahead",Somewhat confident,Paying off debt
19,Male,Other,Sometimes,Frequently,Invest it,"Yes, but I don't always stick to it",Retiring early,Somewhat comfortable,"Yes, I have a detailed plan",Very confident,Creating and sticking to a budget
22,Female,Save,Sometimes,Rarely,Invest it,"Yes, I follow it strictly",Buying a home,Somewhat comfortable,"No, I haven't thought that far ahead",Somewhat confident,Investing regularly
49,Female,Spend,"No, I don't track it",Never,Invest it,"No, i don't have a budget",Other,Somewhat comfortable,"No, I haven't thought that far ahead",Very confident,Investing regularly
21,Male,Save,"No, I don't track it",Frequently,Invest it,"Yes, but I don't always stick to it",Future security,Very comfortable,"Yes, but it's vague",Not confident at all,Paying off debt
50,Male,Save,"No, I don't track it",Never,Spend it,"No, i don't have a budget",Buying a home,Not comfortable,"Yes, I have a detailed plan",Somewhat confident,Investing regularly
31,Male,Other,"Yes, daily",Frequently,Spend it,"Yes, but I don't always stick to it",Buying a home,Somewhat comfortable,"No, I haven't thought that far ahead",Not confident at all,Spending less
34,Female,Spend,Sometimes,Frequently,Save it,"No, i don't have a budget",Future security,Somewhat comfortable,"Yes, I have a detailed plan",Somewhat confident,Spending less
48,Female,Pay bills,"No, I don't track it",Rarely,Spend it,"Yes, but I don't always stick to it",Future security,Very comfortable,"Yes, but it's vague",Somewhat confident,Investing regularly
33,Male,Save,"Yes, daily",Frequently,Save it,"Yes, but I don't always stick to it",Retiring early,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Paying off debt
37,Female,Pay bills,"Yes, monthly",Never,Save it,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"Yes, but it's vague",Not confident at all,Investing regularly
34,Female,Save,"No, I don't track it",Always,Pay off debt,"Yes, I follow it strictly",Buying a home,Very comfortable,"Yes, but it's vague",Very confident,Spending less
33,Female,Pay bills,"Yes, daily",Frequently,Invest it,"No, i don't have a budget",Future security,Very comfortable,"No, I haven't thought that far ahead",Not confident at all,Investing regularly
26,Male,Save,Sometimes,Rarely,Save it,"Yes, I follow it strictly",Future security,Not comfortable,"No, I haven't thought that far ahead",Not confident at all,Investing regularly
61,Female,Spend,"No, I don't track it",Rarely,Pay off debt,"Yes, but I don't always stick to it",Buying a home,Somewhat comfortable,"Yes, I have a detailed plan",Very confident,Investing regularly
28,Male,Pay bills,"No, I don't track it",Frequently,Save it,"No, i don't have a budget",Buying a home,Not comfortable,"No, I haven't thought that far ahead",Somewhat confident,Paying off debt
25,Female,Save,Sometimes,Rarely,Invest it,"Yes, but I don't always stick to it",Buying a home,Very comfortable,"Yes, but it's vague",Very confident,Saving more
39,Female,Spend,"Yes, monthly",Frequently,Pay off debt,"Yes, but I don't always stick to it",Future security,Not comfortable,"No, I haven't thought that far ahead",Somewhat confident,Creating and sticking to a budget
29,Female,Save,"No, I don't track it",Frequently,Save it,"Yes, but I don't always stick to it",Travel,Not comfortable,"Yes, I have a detailed plan",Not confident at all,Paying off debt
52,Female,Pay bills,"Yes, monthly",Frequently,Save it,"Yes, but I don't always stick to it",Retiring early,Somewhat comfortable,"Yes, I have a detailed plan",Somewhat confident,Spending less
22,Male,Pay bills,"Yes, daily",Frequently,Invest it,"Yes, but I don't always stick to it",Buying a home,Not comfortable,"No, I haven't thought that far ahead",Very confident,Paying off debt
57,Male,Spend,"No, I don't track it",Frequently,Save it,"No, i don't have a budget",Travel,Somewhat comfortable,"Yes, I have a detailed plan",Very confident,Creating and sticking to a budget
28,Male,Spend,Sometimes,Never,Pay off debt,"No, i don't have a budget",Retiring early,Somewhat comfortable,"No, I haven't thought that far ahead",Somewhat confident,Creating and sticking to a budget
48,Male,Pay bills,"Yes, monthly",Rarely,Save it,"No, i don't have a budget",Future security,Very comfortable,"Yes, I have a detailed plan",Somewhat confident,Investing regularly
43,Female,Save,"Yes, daily",Frequently,Spend it,"Yes, I follow it strictly",Future security,Very comfortable,"Yes, I have a detailed plan",Not confident at all,Investing regularly
58,Female,Spend,"No, I don't track it",Rarely,Invest it,"Yes, but I don't always stick to it",Travel,Not comfortable,"Yes, but it's vague",Somewhat confident,Spending less
61,Female,Pay bills,Sometimes,Rarely,Invest it,"Yes, but I don't always stick to it",Future security,Not comfortable,"Yes, but it's vague",Not confident at all,Paying off debt
33,Male,Save,"Yes, daily",Rarely,Spend it,"Yes, but I don't always stick to it",Buying a home,Somewhat comfortable,"Yes, I have a detailed plan",Somewhat confident,Creating and sticking to a budget
18,Female,Save,Sometimes,Frequently,Invest it,"Yes, I follow it strictly",Future security,Somewhat comfortable,"Yes, I have a detailed plan",Not confident at all,Creating and sticking to a budget
63,Male,Save,"Yes, monthly",Frequently,Save it,"Yes, but I don't always stick to it",Travel,Somewhat comfortable,"No, I haven't thought that far ahead",Somewhat confident,Saving more
24,Female,Pay bills,"Yes, daily",Frequently,Pay off debt,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"Yes, I have a detailed plan",Not confident at all,Paying off debt
59,Female,Pay bills,"Yes, monthly",Rarely,Invest it,"Yes, but I don't always stick to it",Retiring early,Somewhat comfortable,"No, I haven't thought that far ahead",Somewhat confident,Spending less
64,Other,Save,"Yes, monthly",Rarely,Invest it,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"Yes, I have a detailed plan",Not confident at all,Spending less
48,Female,Save,"Yes, monthly",Frequently,Pay off debt,"Yes, I follow it strictly",Retiring early,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Spending less
58,Female,Spend,"No, I don't track it",Rarely,Save it,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"No, I haven't thought that far ahead",Not confident at all,Paying off debt
34,Male,Pay bills,"No, I don't track it",Never,Invest it,"No, i don't have a budget",Future security,Very comfortable,"Yes, I have a detailed plan",Not confident at all,Spending less
39,Male,Other,"No, I don't track it",Rarely,Invest it,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"No, I haven't thought that far ahead",Somewhat confident,Saving more
43,Male,Save,"Yes, monthly",Frequently,Pay off debt,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"No, I haven't thought that far ahead",Somewhat confident,Spending less
34,Male,Save,"No, I don't track it",Always,Save it,"Yes, I follow it strictly",Future security,Somewhat comfortable,"No, I haven't thought that far ahead",Not confident at all,Saving more
37,Male,Other,"Yes, monthly",Frequently,Pay off debt,"No, i don't have a budget",Future security,Not comfortable,"Yes, but it's vague",Somewhat confident,Saving more
37,Female,Spend,"Yes, daily",Never,Pay off debt,"Yes, but I don't always stick to it",Retiring early,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Spending less
47,Female,Spend,"No, I don't track it",Frequently,Pay off debt,"Yes, but I don't always stick to it",Travel,Somewhat comfortable,"No, I haven't thought that far ahead",Very confident,Other
28,Male,Spend,Sometimes,Never,Pay off debt,"No, i don't have a budget",Buying a home,Very comfortable,"No, I haven't thought that far ahead",Somewhat confident,Creating and sticking to a budget
18,Male,Pay bills,"Yes, monthly",Frequently,Pay off debt,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"No, I haven't thought that far ahead",Very confident,Spending less
61,Female,Pay bills,"Yes, daily",Frequently,Invest it,"No, i don't have a budget",Buying a home,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Investing regularly
28,Male,Pay bills,"No, I don't track it",Rarely,Invest it,"Yes, but I don't always stick to it",Buying a home,Very comfortable,"No, I haven't thought that far ahead",Somewhat confident,Spending less
41,Male,Spend,"Yes, daily",Never,Spend it,"Yes, I follow it strictly",Travel,Very comfortable,"Yes, but it's vague",Somewhat confident,Paying off debt
19,Female,Pay bills,"No, I don't track it",Never,Save it,"Yes, I follow it strictly",Future security,Not comfortable,"Yes, but it's vague",Somewhat confident,Saving more
25,Male,Save,"No, I don't track it",Frequently,Save it,"No, i don't have a budget",Buying a home,Somewhat comfortable,"Yes, but it's vague",Not confident at all,Saving more
42,Male,Spend,"No, I don't track it",Rarely,Pay off debt,"Yes, but I don't always stick to it",Future security,Very comfortable,"Yes, but it's vague",Not confident at all,Spending less
38,Male,Pay bills,Sometimes,Never,Save it,"No, i don't have a budget",Future security,Somewhat comfortable,"No, I haven't thought that far ahead",Somewhat confident,Investing regularly
60,Female,Save,"No, I don't track it",Frequently,Save it,"Yes, but I don't always stick to it",Travel,Not comfortable,"Yes, I have a detailed plan",Very confident,Spending less
51,Male,Save,Sometimes,Rarely,Spend it,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"Yes, but it's vague",Very confident,Investing regularly
51,Male,Save,"Yes, daily",Always,Save it,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"Yes, I have a detailed plan",Somewhat confident,Spending less
59,Male,Spend,"No, I don't track it",Frequently,Save it,"Yes, but I don't always stick to it",Retiring early,Somewhat comfortable,"Yes, but it's vague",Not confident at all,Creating and sticking to a budget
56,Male,Spend,"No, I don't track it",Frequently,Invest it,"No, i don't have a budget",Future security,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Spending less
45,Male,Save,"Yes, monthly",Frequently,Invest it,"Yes, I follow it strictly",Future security,Somewhat comfortable,"Yes, but it's vague",Not confident at all,Saving more
38,Male,Spend,"Yes, monthly",Rarely,Invest it,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"Yes, I have a detailed plan",Not confident at all,Saving more
64,Male,Pay bills,"Yes, monthly",Rarely,Spend it,"No, i don't have a budget",Retiring early,Very comfortable,"Yes, I have a detailed plan",Not confident at all,Paying off debt
64,Male,Spend,Sometimes,Never,Invest it,"Yes, but I don't always stick to it",Travel,Very comfortable,"No, I haven't thought that far ahead",Somewhat confident,Paying off debt
35,Male,Save,Sometimes,Rarely,Save it,"Yes, but I don't always stick to it",Retiring early,Somewhat comfortable,"No, I haven't thought that far ahead",Very confident,Paying off debt
